txn_id,date,amount,account_id,counterparty
TXN0001,2024-01-02,1250.75,ACC101,Alpine Software Solutions
TXN0002,2024-01-02,3450.00,ACC102,Global Manufacturing Corp
TXN0003,2024-01-03,850000.00,ACC101,SUSPICIOUS - Mega Transfer Ltd
TXN0004,2024-01-03,2100.25,ACC103,Tech Innovations Inc
TXN0005,2024-01-04,5600.50,ACC104,Marketing Dynamics LLC
TXN0006,2024-01-04,890.75,ACC105,Office Solutions Pro
TXN0007,2024-01-05,12500.00,ACC101,Enterprise Systems Corp
TXN0008,2024-01-05,345.80,ACC102,Cloud Services Ltd
TXN0009,2024-01-08,7800.00,ACC103,Digital Consulting Group
TXN0010,2024-01-08,1950.25,ACC104,Strategic Partners Inc
TXN0011,2024-01-09,750000.00,ACC102,ANOMALY - Offshore Holdings
TXN0012,2024-01-09,4200.50,ACC105,Professional Services
TXN0013,2024-01-10,650.90,ACC101,Monthly Software License
TXN0014,2024-01-10,8900.75,ACC103,Equipment Suppliers
TXN0015,2024-01-11,2300.00,ACC104,Training Solutions Inc
TXN0016,2024-01-11,1100000.00,ACC101,FRAUD ALERT - Unknown Entity
TXN0017,2024-01-12,3750.25,ACC102,Data Analytics Corp
TXN0018,2024-01-12,890.50,ACC105,Utility Services Co
TXN0019,2024-01-15,15600.00,ACC103,Quarterly Payment Corp
TXN0020,2024-01-15,2450.75,ACC104,Marketing Campaign LLC
TXN0021,2024-01-16,950000.00,ACC102,HIGH RISK - Foreign Transfer
TXN0022,2024-01-16,5200.00,ACC101,Client Services Inc
TXN0023,2024-01-17,1890.25,ACC105,Security Solutions Ltd
TXN0024,2024-01-17,7200.50,ACC103,Development Partners
TXN0025,2024-01-18,3100.75,ACC104,Legal Advisory Services
TXN0026,2024-01-18,1250000.00,ACC101,ALERT - Suspicious Wire
TXN0027,2024-01-19,4800.00,ACC102,Innovation Labs Inc
TXN0028,2024-01-19,1650.25,ACC105,Communication Systems
TXN0029,2024-01-22,9500.50,ACC103,Research & Development
TXN0030,2024-01-22,2750.75,ACC104,Brand Management Corp
TXN0031,2024-01-23,6400.00,ACC101,Technology Solutions
TXN0032,2024-01-23,890000.00,ACC102,WARNING - Unusual Transfer
TXN0033,2024-01-24,3950.25,ACC105,Customer Success LLC
TXN0034,2024-01-24,1200.50,ACC103,Support Services Inc
TXN0035,2024-01-25,8200.75,ACC104,Strategic Consulting
TXN0036,2024-01-25,1450000.00,ACC101,CRITICAL - Money Laundering Risk
TXN0037,2024-01-26,5600.00,ACC102,Product Development Corp
TXN0038,2024-01-26,2100.25,ACC105,Quality Assurance Ltd
TXN0039,2024-01-29,7800.50,ACC103,Business Intelligence Inc
