txn_id,date,amount,account_id,counterparty
TXN1001,2024-01-02,15750.50,ACC201,Enterprise Solutions Corp
TXN1002,2024-01-02,3890.25,ACC202,Global Tech Industries
TXN1003,2024-01-02,2500000.00,ACC201,CRITICAL ALERT - Terror Finance Network
TXN1004,2024-01-03,8200.75,ACC203,Innovation Partners LLC
TXN1005,2024-01-03,12450.00,ACC204,Strategic Consulting Group
TXN1006,2024-01-03,6750.25,ACC205,Digital Transformation Inc
TXN1007,2024-01-04,18950.50,ACC201,Enterprise Software Solutions
TXN1008,2024-01-04,4200.75,ACC202,Cloud Infrastructure Corp
TXN1009,2024-01-04,3800000.00,ACC203,MAXIMUM RISK - ISIS Cell Funding
TXN1010,2024-01-05,9850.25,ACC204,Business Intelligence Ltd
TXN1011,2024-01-05,14750.00,ACC205,Market Analytics Corp
TXN1012,2024-01-05,5600.75,ACC201,Monthly Software Licensing
TXN1013,2024-01-08,22500.50,ACC202,Quarterly Enterprise Payment
TXN1014,2024-01-08,7300.25,ACC203,Technology Integration Services
TXN1015,2024-01-08,1950000.00,ACC204,RED FLAG - Dark Web Proceeds
TXN1016,2024-01-09,16200.75,ACC205,Digital Marketing Campaign
TXN1017,2024-01-09,11850.00,ACC201,Professional Services Contract
TXN1018,2024-01-09,8750.25,ACC202,Infrastructure Maintenance
TXN1019,2024-01-10,25600.50,ACC203,Strategic Partnership Investment
TXN1020,2024-01-10,4950.75,ACC204,Weekly Operations Support
TXN1021,2024-01-10,4500000.00,ACC205,EXTREME ALERT - Cartel Money Laundering
TXN1022,2024-01-11,13400.25,ACC201,Enterprise License Renewal
TXN1023,2024-01-11,19750.00,ACC202,Cloud Migration Services
TXN1024,2024-01-11,6200.75,ACC203,Security Audit Services
TXN1025,2024-01-12,28950.50,ACC204,Quarterly Consulting Fees
TXN1026,2024-01-12,9800.25,ACC205,Digital Asset Management
TXN1027,2024-01-12,2750000.00,ACC201,WARNING - Suspicious Wire Transfer
TXN1028,2024-01-15,17650.75,ACC202,Mid-Month Processing
TXN1029,2024-01-15,12300.00,ACC203,Technology Stack Upgrade
TXN1030,2024-01-15,8450.25,ACC204,Business Process Optimization
TXN1031,2024-01-16,23800.50,ACC205,Strategic Initiative Launch
TXN1032,2024-01-16,5750.75,ACC201,Regular Maintenance Contract
TXN1033,2024-01-16,3200000.00,ACC202,CRITICAL - Human Trafficking Funds
TXN1034,2024-01-17,14950.25,ACC203,Innovation Lab Investment
TXN1035,2024-01-17,21600.00,ACC204,Enterprise Architecture Services
TXN1036,2024-01-17,7850.75,ACC205,Market Research Initiative
